adder albatross alligator alpaca antelope
ape armadillo badger basilisk bat
bear beaver boar bobcat buffalo
bugbear bull camel caribou centaur
chameleon cheetah chimera civet cobra
cougar coyote crab crocodile crow
cyclops daemon demon dhole dingo
djinn dog dolphin donkey dragon
drake eagle eel elk falcon
ferret fiend fox frog gargoyle
gazelle ghoul gibbon gnat goblin
gorgon griffin hare harpy hawk
hedgehog heron hound hydra hyena
ibis imp jackal jaguar jellyfish
kelpie kraken lemur leopard leviathan
lion lizard lynx manticore mastodon
minotaur mink mole mongoose monkey
moose narwhal newt ogre orca
otter owl panther pegasus penguin
phoenix piranha python quagga rabbit
raccoon raven rhino roc salamander
satyr serpent shark sphinx spider
squid stallion stoat tiger toad
tortoise troll unicorn viper vulture
walrus weasel werewolf whale wildcat
wolf wolverine wombat worm wyvern
yak yeti zebra aardvark baboon
bison canary capybara cat chimpanzee
chinchilla chipmunk cow deer dromedary
elephant ewe finch fish gila-monster
giraffe gnu goat gopher gorilla
grizzly-bear ground-hog guinea-pig hamster hippopotamus
hog horse ibex iguana impala
kangaroo koala lamb llama mandrill
marmoset mountain-goat mouse mule muskrat
mustang mynah-bird ocelot opossum orangutan
oryx ox panda parakeet parrot
pig platypus polar-bear porcupine porpoise
prairie-dog puma ram rat reindeer
reptile rhinoceros seal sheep shrew
silver-fox skunk sloth snake squirrel
tapir turtle warthog woodchuck angel
brownie chupacabra cockatrice draugr dryad
dwarf elemental elf fairy faun
frost-giant genie ghast ghost giant
gnome golem gremlin griffon hag
hippogriff hobgoblin homonculus incubus kappa
kobold lamassu leprechaun lich mermaid
merman mummy naga nix nymph
oni orc pixie poltergeist sasquatch
selkie siren spectre sprite succubus
sylph thunderbird vampire valkyrie warg
wendigo wight witch wraith zombie
arachne caucasian-eagle charybdis empousai hippalectryon
hippocampus icthyocentaur ipotane lamia mormo
ophitaurus synthian-dracanus taraxippus telekhines typhon
kangnasaurus lophostropheus spinophorosaurus epachthosaurus coelurosauria
lycorhinus adasaurus draconyx ceratops lagerpeton
qiaowanlong rhynchosaur ningyuansaurus palaeolimnornis anabisetia
talarurus sphenodontia tianyulong aepisaurus neuquenraptor
galesaurus pachysuchus auroraceratops hecatasaurus barapasaurus
asiatosaurus daanosaurus luoyanggia eobrontosaurus wellnhoferia
zuolong tenchisaurus centrosaurus falcarius ojoraptorsaurus
lufengocephalus vulcanodon mollusc shunosaurus empaterias
issasaurus jiangxisaurus laplatasaurus aublysodon embasaurus
blikanasaurus bonapartenykus asiamericana arizonasaurus cryptoraptor
morosaurus mapusaurus buitreraptor gravitholus vitakrisaurus
nurosaurus cetiosauriscus kukufeldia propanoplosaurus suchoprion
umarsaurus likhoelesaurus dasygnathoides dubreuillosaurus shenzhouraptor
atrociraptor amurosaurus latirhinus albisaurus zupaysaurus
venenosaurus syrmosaurus arkharavia yueosaurus tianchungosaurus
dyslocosaurus sinraptor owenodon pelycosaur duriavenator
haplocheirus epidendrosaurus nyasasaurus tawasaurus lisboasaurus
ahshislepelta magnirostris psittacosaurus orodromeus ostafrikasaurus
nemegtomaia dracorex ovoraptor amazonsaurus leyesaurus
dollodon cryptosaurus coahuilaceratops variraptor panamericansaurus
nodocephalosaurus nasutoceratops prosaurolophus jingshanosaurus teleocrater
tribelesodon mochlodon eohadrosaurus comanchesaurus limnornis
gigantspinosaurus oxalaia wuerhosaurus mtapaiasaurus longisquama
velocisaurus aorun sinopliosaurus gigantosaurus sphenospondylus
dinotyrannus rhabdodon kritosaurus lamplughsaura notohypsilophodon
tsagantegia brontoraptor argyrosaurus lambeosaurus heterosaurus
tazoudasaurus valdoraptor microhadrosaurus pycnonemosaurus manidens
coelophysis hulsanpes losillasaurus polacanthoides lanzhousaurus
walgettosuchus sauroniops magulodon pneumatoraptor altispinax
alnashetri hoplitosaurus rahiolisaurus luanpingosaurus abrosaurus
palaeosaurus iguanoides abydosaurus riodevasaurus stormbergia
bihariosaurus yuanmousaurus sphenosuchus dashanpusaurus crocodilia
enigmosaurus montanoceratops frenguellisaurus segnosaurus kryptops
labocania sinocalliopteryx dromiceiomimus isisaurus archaeornithoides
deinonychus allosaurus stephanosaurus sinornithoides incisivosaurus
ornitholestes ankylosaurus plateosaurus shidaisaurus platyceratops
agnosphitys changdusaurus nothosaur orthogoniosaurus titanoceratops
dysganus lamaceratops helioceratops nanyangosaurus khaan
cryptodraco chasmosaurus rileyasuchus aeolosaurus yizhousaurus
echinodon omnivoropteryx lengosaurus megadactylus mamenchisaurus
notoceratops pachysaurus tianzhenosaurus zhuchengceratops tyreophorus
nedcolbertia shixinggia jeholosaurus ornithosuchus veterupristisaurus
rayososaurus velafrons lapparentosaurus seismosaurus tsuchikurasaurus
styracosaurus dilophosaurus gasparinisaura xiaotingia dromaeosaurus
