agent alchemist antiquary apothecary armorer
artisan baker banker bargainer blacksmith
broker carter chandler clerk collector
courier crafter dealer drover draper
envoy factor farmer ferryman forager
grocer handler hawker healer herder
hostler jeweler keeper locksmith mason
merchant miller minstrel outfitter peddler
porter potter ranger reeve ropemaker
saddler sailor scribe scrivener seller
shipwright smith smelter smuggler spinner
steward stonemason sutler tanner taskmaster
teamster trader trapper vendor vintner
wainwright warden weaver woodcutter woodworker
accountant actor actuary adhesive-bonding-machine-tender adjudicator
administrative-assistant administrative-services-manager adult-education-teacher advertising-manager advertising-sales-agent
aerobics-instructor aerospace-engineer aerospace-engineering-technician agricultural-engineer agricultural-equipment-operator
agricultural-grader agricultural-inspector agricultural-manager agricultural-sciences-teacher agricultural-sorter
agricultural-technician agricultural-worker air-conditioning-installer air-conditioning-mechanic air-traffic-controller
aircraft-cargo-handling-supervisor aircraft-mechanic aircraft-service-technician airline-copilot airline-pilot
ambulance-dispatcher ambulance-driver amusement-machine-servicer anesthesiologist animal-breeder
animal-control-worker animal-scientist animal-trainer animator answering-service-operator
anthropologist apparel-patternmaker apparel-worker arbitrator archeologist
architect architectural-drafter architectural-manager archivist art-director
art-teacher artist assembler astronomer athlete
athletic-trainer atm-machine-repairer atmospheric-scientist attendant audio-and-video-equipment-technician
audio-visual-and-multimedia-collections-specialist audiologist auditor author auto-damage-insurance-appraiser
automotive-and-watercraft-service-attendant automotive-glass-installer automotive-mechanic avionics-technician back-end-developer
baggage-porter bailiff barback barber bartender
basic-education-teacher behavioral-disorder-counselor bellhop bench-carpenter bicycle-repairer
bill-and-account-collector billing-and-posting-clerk biochemist biological-technician biomedical-engineer
biophysicist blaster blending-machine-operator blockmason boiler-operator
boilermaker bookkeeper boring-machine-tool-tender brazer brickmason
bridge-and-lock-tender broadcast-news-analyst broadcast-technician brokerage-clerk budget-analyst
building-inspector bus-mechanic butcher buyer cabinetmaker
cafeteria-attendant cafeteria-cook camera-operator camera-repairer cardiovascular-technician
cargo-agent carpenter carpet-installer cartographer cashier
caster ceiling-tile-installer cellular-equipment-installer cement-mason channeling-machine-operator
chauffeur checker chef chemical-engineer chemical-plant-operator
chemist chemistry-teacher chief-executive child-social-worker childcare-worker
chiropractor choreographer civil-drafter civil-engineer civil-engineering-technician
claims-adjuster claims-examiner claims-investigator cleaner clinical-laboratory-technician
clinical-laboratory-technologist clinical-psychologist coating-worker coatroom-attendant coil-finisher
coil-taper coil-winder coin-machine-servicer commercial-diver commercial-pilot
commodities-sales-agent communications-equipment-operator communications-teacher community-association-manager community-service-manager
compensation-and-benefits-manager compliance-officer composer computer-hardware-engineer computer-network-architect
computer-operator computer-programmer computer-science-teacher computer-support-specialist computer-systems-administrator
computer-systems-analyst concierge conciliator concrete-finisher conservation-science-teacher
conservation-scientist conservation-worker conservator construction-inspector construction-manager
construction-painter construction-worker continuous-mining-machine-operator convention-planner conveyor-operator
cook cooling-equipment-operator copy-marker correctional-officer correctional-treatment-specialist
correspondence-clerk correspondent cosmetologist cost-estimator costume-attendant
counseling-psychologist counselor court-reporter craft-artist crane-operator
credit-analyst credit-checker credit-counselor criminal-investigator criminal-justice-teacher
crossing-guard curator custom-sewer customer-service-representative cutter
cutting-machine-operator dancer data-entry-keyer database-administrator decorating-worker
delivery-services-driver demonstrator dental-assistant dental-hygienist dental-laboratory-technician
dentist dermatologist derrick-operator designer desktop-publisher
detective developer diagnostic-medical-sonographer die-maker diesel-engine-specialist
dietetic-technician dietitian dinkey-operator director dishwasher
dispatcher dj doctor door-to-door-sales-worker drafter
dragline-operator drama-teacher dredge-operator dressing-room-attendant dressmaker
drier-operator drilling-machine-tool-operator dry-cleaning-worker drywall-installer dyeing-machine-operator
earth-driller economics-teacher economist editor education-administrator
electric-motor-repairer electrical-electronics-drafter electrical-engineer electrical-equipment-assembler electrical-installer
electrical-power-line-installer electrician electro-mechanical-technician elementary-school-teacher elevator-installer
elevator-repairer embalmer emergency-management-director emergency-medical-technician engine-assembler
engineer engineering-manager engineering-teacher english-language-teacher engraver
entertainment-attendant environmental-engineer environmental-science-teacher environmental-scientist epidemiologist
escort etcher event-planner excavating-operator executive-administrative-assistant
executive-secretary exhibit-designer expediting-clerk explosives-worker extraction-worker
fabric-mender fabric-patternmaker fabricator faller family-practitioner
family-social-worker family-therapist farm-advisor farm-equipment-mechanic farm-labor-contractor
farmworker fashion-designer fast-food-cook fence-erector fiberglass-fabricator
fiberglass-laminator file-clerk filling-machine-operator film-and-video-editor financial-analyst
financial-examiner financial-manager financial-services-sales-agent fine-artist fire-alarm-system-installer
fire-dispatcher fire-inspector fire-investigator firefighter fish-and-game-warden
fish-cutter fish-trimmer fisher fitness-studies-teacher fitness-trainer
flight-attendant floor-finisher floor-layer floor-sander floral-designer
food-batchmaker food-cooking-machine-operator food-preparation-worker food-science-technician food-scientist
food-server food-service-manager food-technologist foreign-language-teacher foreign-literature-teacher
forensic-science-technician forest-fire-inspector forest-fire-prevention-specialist forest-worker forester
forestry-teacher forging-machine-setter foundry-coremaker freight-agent freight-mover
front-end-developer fundraising-manager funeral-attendant funeral-director funeral-service-manager
furnace-operator furnishings-worker furniture-finisher gaming-booth-cashier gaming-cage-worker
gaming-change-person gaming-dealer gaming-investigator gaming-manager gaming-surveillance-officer
garment-mender garment-presser gas-compressor gas-plant-operator gas-pumping-station-operator
general-manager general-practitioner geographer geography-teacher geological-engineer
geological-technician geoscientist glazier government-program-eligibility-interviewer graduate-teaching-assistant
graphic-designer groundskeeper groundskeeping-worker gynecologist hairdresser
hairstylist hand-grinding-worker hand-laborer hand-packager hand-packer
hand-polishing-worker hand-sewer hazardous-materials-removal-worker head-cook health-and-safety-engineer
health-educator health-information-technician health-services-manager health-specialties-teacher healthcare-social-worker
hearing-officer heat-treating-equipment-setter heating-installer heating-mechanic heavy-truck-driver
highway-maintenance-worker historian history-teacher hoist-and-winch-operator home-appliance-repairer
home-economics-teacher home-entertainment-installer home-health-aide home-management-advisor host
hostess hotel-desk-clerk housekeeping-cleaner human-resources-assistant human-resources-manager
human-service-assistant hunter hydrologist illustrator industrial-designer
industrial-engineer industrial-engineering-technician industrial-machinery-mechanic industrial-production-manager industrial-truck-operator
industrial-organizational-psychologist information-clerk information-research-scientist information-security-analyst information-systems-manager
